name,logK_exp,boltz_affinity,binder_prob,logKpw_pred
"1,2,3,4-tetrachlorobenzene",4.21,2.0891480445861816,0.3814672529697418,2.0882720148894145
hexafluorobenzene,1.55,2.2705893516540527,0.1904977411031723,1.9068307078215434
methylpentafluorobenzene,2.32,2.175273895263672,0.1783370077610016,2.0021461642119243
indene,2.92,2.2946228981018066,0.100307896733284,1.8827971613737895
naphthalene,3.56,2.1581995487213135,0.15744447708129883,2.0192205107542827
dibenzofuran,3.79,1.09975004196167,0.3452039659023285,3.077670017513926
dibenzothiophene,4.16,1.177727460861206,0.43053102493286133,2.99969259861439
phenanthrene,4.15,1.0027168989181519,0.43563783168792725,3.1747031605574443
fluoranthene,4.28,0.9604215621948242,0.48283061385154724,3.216998497280772
pyrene,4.76,0.8748395442962646,0.5754337310791016,3.3025805151793315
chrysene,4.46,0.9786525964736938,0.5687381029129028,3.1987674630019023
benzo[b]fluoranthene,4.42,1.0967124700546265,0.5851457118988037,3.0807075894209697
benzo[ghi]perylene,4.76,0.9080923795700073,0.6275601983070374,3.269327679905589
anisole,2.16,2.114096164703369,0.1128205806016922,2.063323894772227
valerophenone,2.7,1.3318402767181396,0.3279184401035309,2.8455797827574565
benzophenone,2.62,1.5316455364227295,0.31147128343582153,2.6457745230528666
di-n-propyl phthalate,2.84,1.265823483467102,0.22664451599121094,2.911596576008494
2-nitrotoluene,2.12,1.382645606994629,0.22550177574157715,2.7947744524809672
"2,4-dinitrotoluene",1.73,1.31175696849823,0.31554269790649414,2.865663090977366
1-nitronaphthalene,3.17,0.9921911954879761,0.33454209566116333,3.18522886398762
4-nitroanisole,2.48,1.407123327255249,0.3329921364784241,2.770296732220347
"N,N-diethylaniline",2.27,2.0244264602661133,0.11870133876800537,2.152993599209483
1-hexanol,1.64,1.9584153890609741,0.09226402640342712,2.219004670414622
1-heptanol,2.18,1.930408239364624,0.07275614887475967,2.247011820110972
1-octanol,2.74,1.510023593902588,0.15474861860275269,2.6673964655730082
1-nonanol,3.1,1.4093873500823975,0.12703582644462585,2.7680327093931987
4-ethyl-3-hexanol,1.48,1.319955587387085,0.3211771845817566,2.857464472088511
4-chlorobenzyl alcohol,2.1,2.034115791320801,0.23700010776519775,2.1433042681547954
4-n-propylphenol,2.59,1.4387391805648804,0.21338096261024475,2.7386808789107158
2-phenylphenol,2.62,1.35102117061615,0.4601544141769409,2.8263988888594462
4-fluorophenol,1.57,1.441122055053711,0.44670331478118896,2.736298004421885
3-chlorophenol,2.35,1.491312026977539,0.2609795331954956,2.686108032498057
4-chlorophenol,2.43,1.541879653930664,0.3198808431625366,2.635540405544932
4-bromophenol,2.81,1.4191818237304688,0.3640627861022949,2.7582382357451274
4-iodophenol,3.41,1.011326551437378,0.5247183442115784,3.166093508038218
bisphenol A,2.88,0.8673207759857178,0.633933424949646,3.3100992834898784
4-nitroaniline,1.69,1.1585956811904907,0.37150874733924866,3.0188243782851054
2-chloroaniline,1.95,2.744387149810791,0.33315879106521606,1.433032909664805
4-iodoaniline,2.95,1.849205732345581,0.45443347096443176,2.328214327130015
4-aminobiphenyl,2.55,1.4180504083633423,0.445870041847229,2.759369651112254
indole,2.25,1.6523957252502441,0.42629048228263855,2.525024334225352
carbazole,3.52,0.8125116229057312,0.5011875629425049,3.364908436569865
metolachlor,1.74,0.44801798462867737,0.2802068591117859,3.7294020748469188
atrazine,1.77,1.7825610637664795,0.19350439310073853,2.3948589957091166
diazepam,2.68,0.9224035143852234,0.3576030135154724,3.2550165450903727
estrone,2.69,0.6475462913513184,0.46548721194267273,3.5298737681242778
endosulfan α,3.24,0.806657612323761,0.4410291314125061,3.370762447151835
